Job Title,Job Location,Company,Estimate Base Salary,Low Estimate,High Estimate,Company Size,Company Type,Company Sector,Company Industry,Company Revenue,Company Rating,Company Friend Reccomendation,Companny Number of Rater,Company Career Opportinities,Compensation and Benefits,Company Culture and Values,Company Senior Management,Company Work Life Balance,State,python_yn,r_yn,sql_yn,java_yn,julia_yn,scala_yn,c_yn,c++_yn,javascript_yn,spark_yn,hadoop_yn,matlab_yn,sas_yn,git_yn,excel_yn,nosql_yn,aws_yn,mongodb_yn,cassandra_yn,hive_yn,bigml_yn,tableau_yn,powerbi_yn,nlp_yn,pytorch_yn,tensorflow_yn,mathematic_yn,statistic_yn
"Technical Fellow, Job Seeker",Australia,Indeed,295000,241000,349000,5001 to 10000 Employees,Company - Private,Information Technology,Internet & Web Services,$2 to $5 billion (USD),4.4,90.0,1020.0,4.1,4.3,4.5,4.1,4.5,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Software Engineer,Australia,Indeed,212000,173000,251000,5001 to 10000 Employees,Company - Private,Information Technology,Internet & Web Services,$2 to $5 billion (USD),4.4,90.0,1020.0,4.1,4.3,4.5,4.1,4.5,Western Australia,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Coordinator,Perth,Water Corporation,91321,91000,91000,1001 to 5000 Employees,Company - Private,"Energy, Mining, Utilities",Energy & Utilities,$2 to $5 billion (USD),3.9,77.0,2.0,3.6,3.8,3.8,3.3,4.3,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Customer Relations Manager,Perth,Scout Talent North America,59138,57000,62000,51 to 200 Employees,Company - Private,Information Technology,Computer Hardware Development,$10 to $25 million (USD),4.2,87.0,12.0,4.1,4.0,4.4,4.3,4.3,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Specialist,Perth,Fugro,120494,89000,164000,10000+ Employees,Company - Public,"Construction, Repair & Maintenance Services",Architectural & Engineering Services,$2 to $5 billion (USD),3.6,66.0,121.0,3.3,3.1,3.5,2.9,3.4,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Associate Research Assistant,Australia,University Of Western Australia,87071,74000,100000,5001 to 10000 Employees,College / University,Education,Colleges & Universities,$50 to $100 million (USD),4.1,74.0,32.0,3.3,3.9,3.4,2.9,3.7,Western Australia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Data Scientist,Australia,University Of Western Australia,137783,128000,147000,5001 to 10000 Employees,College / University,Education,Colleges & Universities,$50 to $100 million (USD),4.1,74.0,32.0,3.3,3.9,3.4,2.9,3.7,Western Australia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Technology Specialist,Perth,Accenture,82367,66000,103000,10000+ Employees,Company - Public,Management & Consulting,Business Consulting,$10+ billion (USD),3.9,76.0,245.0,4.0,3.4,3.8,3.4,3.2,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Risk Manager,Perth,Deloitte,80368,62000,104000,10000+ Employees,Company - Private,Finance,Accounting & Tax,$10+ billion (USD),4.0,82.0,10725.0,4.1,3.6,4.0,3.7,3.2,Western Australia,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Data Analyst,Perth,VGW,64419,53000,79000,501 to 1000 Employees,Company - Private,Information Technology,Internet & Web Services,Unknown / Non-Applicable,4.0,77.0,80.0,3.9,3.9,4.1,3.8,4.2,Western Australia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
Field Service Engineer,Perth,ConeTec,100995,85000,120000,201 to 500 Employees,Company - Private,Management & Consulting,Business Consulting,$50 to $100 million (USD),4.5,89.0,18.0,4.0,4.0,4.5,4.3,3.2,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graduate Transportation Planner,Perth,AECOM,93703,73000,120000,10000+ Employees,Company - Public,"Construction, Repair & Maintenance Services",Architectural & Engineering Services,$10+ billion (USD),3.7,73.0,802.0,3.7,3.4,3.6,3.3,3.5,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Program Manager,Bridgetown,United Nations,147860,110000,199000,10000+ Employees,Government,Government & Public Administration,National Services & Agencies,Unknown / Non-Applicable,4.0,83.0,354.0,3.4,3.9,3.9,3.4,3.7,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Postdoctoral Research Fellow,Perth,CSIRO,93500,89000,98000,5001 to 10000 Employees,Government,Government & Public Administration,National Services & Agencies,$500 million to $1 billion (USD),3.8,68.0,145.0,3.4,3.4,3.5,3.0,4.1,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Associate Research Assistant,Perth,Curtin University of Technology,106782,91000,122000,1001 to 5000 Employees,College / University,Education,Colleges & Universities,$500 million to $1 billion (USD),4.1,88.0,62.0,3.6,4.1,4.0,3.6,3.9,Western Australia,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Graduate Mechanical Engineer,Perth,Metso Outotec,139845,121000,162000,10000+ Employees,Company - Public,"Energy, Mining, Utilities",Mining & Metals,Unknown / Non-Applicable,4.0,88.0,122.0,3.7,3.8,4.1,3.6,3.8,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Postdoctoral Research Fellow,Perth,CSIRO,93500,89000,98000,5001 to 10000 Employees,Government,Government & Public Administration,National Services & Agencies,$500 million to $1 billion (USD),3.8,68.0,145.0,3.4,3.4,3.5,3.0,4.1,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
