work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,over average salary
2021,SE,FT,Lead Data Engineer,GB,100,GB,S,0
2021,MI,FT,BI Data Analyst,HU,50,US,L,0
2021,MI,PT,3D Computer Vision Researcher,IN,50,IN,M,0
2021,SE,FT,Data Science Manager,US,100,FR,L,1
2022,SE,FT,Data Engineer,US,100,US,M,1
2020,EN,FT,AI Scientist,DK,50,DK,S,0
2020,EN,CT,Business Data Analyst,US,100,US,L,0
2020,EN,FT,Data Scientist,DE,50,DE,S,0
2022,MI,FT,Data Analyst,ES,100,ES,M,0
2022,SE,FT,Data Analyst,US,100,US,M,1
2022,EX,FT,Data Analyst,US,100,US,M,0
2021,MI,FT,Applied Data Scientist,GB,50,CA,L,0
2022,MI,FT,Data Analyst,US,0,US,M,1
2022,SE,FT,Data Engineer,US,100,US,M,1
2021,EN,FT,Machine Learning Engineer,US,100,US,S,1
2022,SE,FT,Data Engineer,US,0,US,L,1
2021,EN,FT,AI Scientist,IN,100,AS,S,0
2022,MI,FT,Data Engineer,US,0,US,M,0
2022,SE,FT,Data Analyst,CA,100,CA,M,0
2021,SE,FT,Machine Learning Scientist,US,50,US,S,1
2021,SE,FT,Director of Data Engineering,US,100,US,L,1
2021,MI,FT,Research Scientist,FR,50,FR,S,0
2022,SE,FT,Data Analyst,US,100,US,M,0
2022,MI,FT,Data Scientist,US,0,US,M,1
2021,MI,FT,Data Engineer,HK,50,GB,S,0
2022,SE,FT,Data Analytics Manager,US,100,US,M,1
2021,MI,FT,Data Analyst,US,0,US,L,0
2022,SE,FT,Data Engineer,US,100,US,M,0
2022,SE,FT,Data Engineer,US,100,US,L,1
2022,MI,FT,AI Scientist,US,0,US,M,1
2020,MI,FT,Business Data Analyst,US,100,US,L,1
2021,SE,FT,Machine Learning Engineer,US,50,US,L,1
2021,SE,FT,Data Scientist,US,0,US,L,1
2021,MI,FT,Data Scientist,ES,100,ES,M,0
2022,SE,FT,Data Scientist,US,0,US,M,1
2021,MI,FT,Data Engineer,RO,0,US,L,0
2022,MI,FT,Data Analyst,US,0,US,S,0
2021,SE,FT,Machine Learning Engineer,IN,100,IN,L,0
2021,EN,FT,Research Scientist,JE,0,CN,L,0
2022,SE,FT,Data Engineer,US,100,US,L,1
2022,SE,FT,Data Analyst,US,100,US,M,0
2022,MI,FT,Data Scientist,US,0,US,M,0
2022,SE,FT,Data Scientist,US,100,US,M,1
2020,EN,FT,Data Analyst,IN,0,IN,S,0
2021,EX,FT,Data Science Consultant,FR,100,ES,S,0
2021,EX,FT,Director of Data Science,DE,50,DE,M,1
2020,SE,FT,Data Engineer,GR,50,GR,L,0
2022,SE,FT,Data Analyst,US,100,US,M,0
2021,MI,FT,Data Architect,US,100,US,L,1
2021,EN,FT,BI Data Analyst,US,50,US,S,0
2022,MI,FT,Research Scientist,AT,0,AT,L,0
2020,SE,FT,Data Scientist,AT,0,AT,S,0
2021,SE,FT,Data Analytics Engineer,VN,100,GB,M,0
2022,SE,FT,Data Scientist,US,100,US,M,1
2022,EX,FT,Data Engineer,US,100,US,M,1
2022,SE,FT,Data Scientist,US,100,US,M,1
2021,MI,FT,Data Scientist,BR,0,BR,S,0
2022,SE,FT,Data Science Manager,US,100,US,M,1
2021,MI,FT,Data Scientist,US,100,US,M,1
2022,EN,FT,Data Scientist,AU,50,AU,M,0
2022,MI,FT,Data Engineer,US,0,US,M,0
2020,SE,FT,Machine Learning Manager,CA,50,CA,L,1
2022,MI,FT,Machine Learning Scientist,US,100,US,L,1
2021,EN,FT,Data Scientist,VN,0,VN,M,0
2021,EX,FT,Head of Data Science,RU,0,RU,M,0
2022,SE,FT,Data Analyst,US,100,US,M,0
2022,SE,FT,Data Analyst,US,100,US,M,1
2022,MI,FT,Data Analyst,GB,100,GB,M,0
2022,SE,FT,Data Scientist,US,0,US,L,1
2021,MI,FT,Data Scientist,NG,100,NG,L,0
2022,EX,FT,Head of Data Science,US,100,US,M,1
2021,SE,FT,Principal Data Scientist,DE,100,DE,M,1
2022,MI,FT,Machine Learning Engineer,GB,0,GB,M,0
2022,SE,FT,Machine Learning Engineer,US,0,US,M,1
2022,SE,FT,Machine Learning Engineer,IE,100,IE,S,0
2020,MI,FT,Data Scientist,GB,100,GB,S,0
2020,MI,FT,Product Data Analyst,HN,0,HN,S,0
2022,EX,FT,Analytics Engineer,US,100,US,M,1
2022,EX,FT,Lead Data Engineer,CA,100,CA,S,1
2021,MI,FT,Head of Data Science,US,0,US,S,0
2020,MI,FT,Data Engineering Manager,DE,100,DE,S,0
